1	f Tibique, Domine, celsum Cherubim dicatum est, 
2	et illa moles quadriformis machinae 
3	te sempiterno confitentur carmine. 
4	et nos imago consonantis cantici 
5	amen sonamus, alleluia dicimus. 
6	Te septem primi deprecantur angeli, 
7	ceu ciuitatis septem principes uiri, 
8	solio propinqui, ianitores proximi. 
9	et nos imago consonantis cantici 
10	amen sonamus, alleluia dicimus. 
11	Te solis astrum cum sorore menstrua, 
12	Uergiliae Iugula Uesperugo Lucifer, 
13	omnesque guttae praemicantes inuocant. 
14	et nos imago consonantis cantici 
15	amen sonamus, alleluia dicimus. 
16	Aer aquosus siue sudus inuicem, 
17	simulque uenti pluuiae grando flumina, 
18	ritu suomet conditorem concinunt. 
19	et nos imago consonantis cantici 
20	amen sonamus, alleluia dicimus. 
21	Solum statiuum cum fertura mobili 
22	quae paret homini, quaeque f capta de ulla, 
23	tibi cantat ulli, conticescit ceteris. 
24	et nos imago consonantis cantici 
25	amen sonamus, alleluia dicimus. 
26	Oceane, cinctam qui coerces aream 
27	et intestini fossa media gurgitis, 
28	deum sonantes cum marinis beluis. 
29	et nos imago consonantis cantici 
30	amen sonamus, alleluia dicimus. 
31	- Infernae sedis flamma, fulua tartara, 
32	trucesque praesidentes pariter angeli, 
33	amen minaci decantantes carmine. 
34	et nos imago consonantis cantici 
35	amen sonamus, alleluia dicimus. 
36	 Postremo dico deprecandi canticum. 
37	id facio quantum per uiginti cantica. 
38	sed ne quis audax interpellet quippiam, 
39	anguem magistrum falsitatis increpo, 
40	ut non adiciat neue demat litteram. 
41	Quod si quem laedit spiritalis lectio, 
42	ei licebit lectionem spernere, 
43	non commutare lectionis normulam. 
44	anguem magistrum falsitatis increpo, 
45	ut non adiciat neue demat litteram. 
46	Si scriptor errat in mutanda littera, 
47	ignarus errat; uenia Christo, t si praesto est. 
48	nam non uoluntas, uerum dextra labitur. 
49	anguem magistrum falsitatis increpo. 
50	ut non adiciat neue demat litteram. 
51	Ad illos homines interdictum pertinet, 
52	qui uoce uera nominantur physici: 
53	si non probatis, praeterire liberum est. 
54	anguem magistrum falsitatis increpo, 
55	ut non adiciat neue demat litteram. 
56	. et nos a faece (hac) ethnicorum emersimus, 
57	eamque tandem rupimus caliginem, 
58	dum spiritales exaudimus angelos. 
59	anguem ma(gistrum falsitatis increpo, 
59b	ut non adiciat neue demat litteram.) 
60	designo sextum praecauendam spiritu 
61	f mortis Dei prophetas instrumenta daemonum 
62	t numa et mortis semper in saeculum. 
63	deus sancte, te rogamus Patrem Unigeniti, 
64	Christe Deus, te precamur uiuum Dei Filium, 
65	sancte Christe, te obsecramus iudicem uerum Deum. 
