1	Inmolat Deo Patri
2	pius, fidelis, innocens, pudicus
3	dona conscientiae,
4	quibus beata mens abundat intus.
5	alter et pecuniam 
6	recidit, unde victitent egeni.
7	nos citos iambicos
8	sacramus et rotatiles trochaeos
9	sanctitatis indigi
10	nec ad levamen pauperum potentes. 
11	approbat tamen Deus
12	pedestre carmen et benignus audit.
13	multa divitis domo
14	sita est per omnes angulos supellex:
15	fulget aureus scyphus
16	nec aere defit expolita pelvis,
17	est et olla fictilis
18	gravisque et ampla argentea est parapsis,
19	sunt eburna quaepiam,
20	nonnulla quercu sunt cavata et ulmo. 
21	omne vas fit utile
22	quod est ad usum congruens erilem;
23	instruunt enim domum
24	ut empta magno, sic parata ligno.
25	me paterno in atrio 
26	ut obsoletum vasculum caducis
27	Christus aptat usibus
28	sinitque parte in anguli manere.
29	munus ecce fictile
30	inimus intra regiam salutis. 
31	attamen vel infimam
32	Deo obsequellam praestitisse prodest.
33	quidquid illud accidit,
34	iuvabit ore personasse Christum. 1
